종류,가게명_한글,거리,가게명_영문,전화번호,전체 리뷰 수,구글맵 평점,가격대,포장 가능,영업중,리뷰 폴라리티
와플,와플대학 홍대캠퍼스,1180,와플대학 홍대캠퍼스,02-332-5252,48.0,4.0,1.0,True,True,0.458
와플,눈내리는숲 설래임 홍대본점,454,"눈 내리는 숲 설래임 Snowing forest, dessert cafe seollaeim",02-6952-5859,49.0,4.8,,True,True,0.3610863756613757
와플,카페 사운드웨이브,714,사운드웨이브 합정점 카페,,37.0,4.3,,True,False,0.29
베이글,수상한베이글,402,Susanghan Bagel,050-71315-4096,68.0,4.2,,True,True,0.3338919064153439
베이글,트리플베이글,763,Triple Bagel,02-3144-3663,70.0,4.6,,True,True,0.346739417989418
베이글,뉴욕베이글애비뉴,988,New York Bagel Ave.,050-71436-0733,1784.0,4.9,,True,True,0.4257484848484848
베이글,씨네마포,505,Cinema Four,,33.0,4.5,,True,False,0.31853273809523813
베이글,쉬즈베이글 홍대점,750,She’s Bagel,,2.0,5.0,,True,True,0.13167613636363637
베이글,말통커피앤베이글,897,말통커피 합정점,02-336-2739,4.0,5.0,,True,True,0.3299107142857143
베이글,쉬즈베이글,1130,쉬즈베이글,050-71333-0627,2.0,5.0,,True,True,0.4195748299319728
베이글,브루클린베이글팜,1205,Dawn Bagel,02-6080-3828,31.0,4.0,,True,False,0.26940836940836943
베이글,포비 합정점,1323,FourB Basic,02-566-3861,783.0,4.2,2.0,True,True,0.23016865079365081
베이글,브릭베이글,1685,Brick Bagel,,17.0,4.4,,True,False,0.19262987012987012
베이글,뚜레쥬르 마포밤섬점,148,Tous Les Jours,02-717-5999,41.0,4.3,2.0,True,True,0.39448819444444444
베이글,베이글카페 홍대점,739,New York Bagel Ave.,050-71436-0733,1784.0,4.9,,True,True,0.4257484848484848
떡볶이,또보겠지떡볶이집 깐따삐아점,704,또보겠지 떡볶이 깐따삐야점,050-71337-9311,137.0,4.3,,True,False,0.33251700680272106
떡볶이,또보겠지떡볶이집 호호피크닉점,703,또보겠지 떡볶이집 호호피크닉점,050-71305-5819,189.0,4.3,,True,False,0.4891865079365079
떡볶이,홍대씨부엉,682,홍대씨부엉,02-336-5253,161.0,4.8,,True,True,0.2832154882154882
떡볶이,홍마떡 홍대본점,893,Hong Ma Tteok,02-324-1107,356.0,4.0,2.0,True,False,0.4266904761904762
떡볶이,홍대조폭떡볶이 홍대2호점,1024,Hongdae Jopok Tteokbokki Hongdae 2nd Branch,02-337-9933,283.0,3.7,,True,True,0.2255909090909091
떡볶이,그동네떡볶이 홍대점,873,그동네떡볶이 홍대본점,02-6083-5414,195.0,4.4,,True,True,0.2761785714285714
떡볶이,또보겠지떡볶이집 스마일보이점,1021,또보겠지떡볶이집 스마일보이점,050-71322-8907,67.0,4.4,,True,False,0.41761904761904756
떡볶이,청년다방 서울홍대점,525,청년다방 홍대로데오점,02-3144-1823,32.0,3.9,2.0,True,True,0.2095238095238095
떡볶이,동대문엽기떡볶이 광흥창점,532,동대문엽기떡볶이 광흥창점,050-7982-4595,8.0,3.5,,True,True,-0.014861111111111103
떡볶이,상수동떡볶이,165,Gimsatto,02-325-6362,73.0,4.2,,True,True,0.3255862785218254
떡볶이,동대문엽기떡볶이 상수역점,402,동대문엽기떡볶이 상수역점,02-332-8592,5.0,3.0,,True,True,0.09666666666666668
떡볶이,또보겠지떡볶이집 붕붕허니비점,1364,또보겠지떡볶이집 붕붕허니비점,050-71415-1287,392.0,4.4,2.0,True,False,0.3593492063492063
핫도그,자유인들,484,자유인들,010-3291-8791,19.0,4.9,,True,True,0.5161152597402597
핫도그,테라김밥,669,Tera Gimbap,02-338-0033,77.0,4.2,,True,True,0.20282359307359304
핫도그,미소핫도그 홍대본점,773,명랑핫도그 대흥역점,02-6326-0221,49.0,4.3,,True,False,0.16902777777777778
핫도그,클럽바리스타,210,클럽바리스타,02-3144-1880,4.0,4.8,,True,True,0.35309523809523813
핫도그,후라이드참잘하는집 서강대점,523,후라이드참잘하는집 서강대점,02-336-6668,24.0,4.0,1.0,True,True,0.11933291489212546
핫도그,만동제과,1668,Mandong Bakery,02-6489-2334,419.0,4.4,2.0,True,False,0.3456083333333333
핫도그,스낵바칠링미소프트,906,칠링미소프트 ChilligMeSoft,050-71375-1830,2.0,5.0,,True,True,0.6541666666666666
핫도그,해머스,1225,해머스미스 로스터리 Hammersmith,02-6406-0888,67.0,4.4,,True,True,0.2877777777777778
핫도그,카페홈즈 합정역점,919,She’s Bagel,,2.0,5.0,,True,True,0.36750000000000005
커피,앤트러사이트 합정점,543,Anthracite Coffee Hapjeong.,02-336-7850,1137.0,4.2,2.0,True,True,0.30640778533635676
커피,빈브라더스 합정,846,BEAN BROTHERS Hapjeong,02-6012-2001,817.0,4.3,2.0,True,False,0.24126740646571476
커피,카페공명 홍대점,419,Cafe Gong Myoung Hongdae Branch,070-8870-6304,45.0,4.5,,True,True,0.4152857142857142
커피,퍼셉션 (Perception),536,Perception,050-71320-1086,164.0,4.4,,True,True,0.4782673160173161
커피,스타벅스 상수역점,146,Starbucks Sangsu Station,1522-3232,422.0,4.1,2.0,True,True,0.264
커피,스타벅스 홍대삼거리점,411,Starbucks Hongik University Three-way Intersection,1522-3232,393.0,4.1,2.0,True,False,0.5251794871794873
커피,삼다코지,487,Samdacozy,010-9566-1805,45.0,4.3,,True,True,0.3554642857142857
커피,heod 합정,606,오디티 odt,,14.0,3.4,,True,True,0.1774904761904762
커피,빌리프커피로스터스,1119,Belief Coffee Roasters,02-333-3100,732.0,4.3,2.0,True,True,0.3572564745196324
커피,드롭탑 홍대점,454,Droptop,02-338-7879,243.0,4.0,2.0,True,True,0.3133521901709402
커피,도덕과 규범,252,도덕과 규범,050-71495-7807,10.0,4.7,,True,False,0.25808333333333333
커피,스타벅스 홍대입구역사거리R점,956,Starbucks Reserve Hongik University Station Intersection,1522-3232,901.0,4.3,2.0,True,True,0.46264087301587303
탕후루,씨씨탕후루,653,씨씨탕후루,02-332-6525,1.0,5.0,,True,True,0.0
탕후루,합정역탕후루,886,24시 합정역 탕후루,050-71313-9677,2.0,5.0,,True,True,0.5
탕후루,와인바 블랑루즈 합정,760,와인바 블랑루즈 합정(BLANC ROUGE),02-6949-5151,2.0,5.0,,True,True,0.7250000000000001
탕후루,씨씨탕후루,1746,씨씨탕후루,02-332-6525,1.0,5.0,,True,True,0.0
탕후루,왕코미네탕후루 대흥역점,1761,Wangga Tanghulu,,7.0,4.0,,True,True,0.34520138888888885
호떡,뚜레쥬르 마포밤섬점,148,Tous Les Jours,02-717-5999,41.0,4.3,2.0,True,True,0.39448819444444444
호떡,호떡나들이,1017,Hotteok Mania,010-5159-8843,14.0,3.1,,True,True,0.32364199821342676
호떡,서울호떡 신촌본점,1505,Seoul Hotteok Sinchon,070-7787-7474,33.0,4.6,,True,True,0.36220421245421247
호떡,뚜레쥬르 마포홍대점,790,TousLesJours,02-338-0331,1.0,5.0,2.0,True,True,0.35145032051282055
호떡,경주십원빵,904,Gyeongju 10 Won Bread,010-3193-2444,204.0,4.0,2.0,True,False,0.13616461038961042
호떡,뚜레쥬르 구수동점,684,Tous Les Jours,02-717-5999,41.0,4.3,2.0,True,True,0.39448819444444444
호떡,훈훈호떡,1907,HOONHOON HOTTEOK,,63.0,4.4,,True,False,0.3927237103174603
호떡,어글리베이커리,1873,Ugly Bakery,02-338-2018,431.0,4.0,3.0,True,False,0.3228119935619936
호떡,뚜레쥬르 합정메세나점,1095,TousLesJours,,1.0,4.0,,True,True,0.31471861471861473
호떡,뚜레쥬르 신촌로터리점,1314,Tous Les Jours Café,02-336-0405,6.0,2.8,2.0,True,True,0.03555555555555558
호떡,해피네호떡,1933,Sunhui-ne Bindaetteok,02-2264-5057,1571.0,3.9,1.0,True,False,0.2029504662004662
호떡,뚜레쥬르 여의서로점,1772,Tous Les Jours,,4.0,4.8,2.0,True,True,0.0
꽈배기,피스오브헤븐,300,피스오브헤븐,,8.0,4.1,,True,True,0.42233333333333334
꽈배기,BBQ 홍대로데오점,694,BBQ Chicken & Beer Hongdae Rodeo (BBQ 치킨 홍대로데오점),02-337-8989,101.0,4.4,2.0,True,True,0.11716666666666668
꽈배기,스마일찹쌀꽈배기 창전점,913,스마일찹쌀꽈배기,02-325-0627,3.0,4.0,,True,False,0.2875
꽈배기,붉은낙타,613,붉은낙타,070-4833-5965,13.0,4.9,,False,True,0.46280830280830276
꽈배기,BBQ 홍대반가점,1057,Obok Korean BBQ Hongdae Vanga (오복솥뚜껑 홍대반가점),050-71378-4804,136.0,4.7,,False,True,0.3675333333333333
꽈배기,뽀르뚜아,1285,Pour Toi Bakery,02-969-0482,32.0,4.1,,True,True,0.5749787878787879
꽈배기,온달만두분식,1681,Ondal Mandu Bunshik,,24.0,4.1,,True,False,0.3559761904761905
꽈배기,BBQ 홍대역점,1389,BBQ Chicken,02-3141-9276,20.0,3.7,2.0,True,True,0.16197619047619047
꽈배기,경성꽈배기 대흥역점,1608,경성꽈배기 대흥점,02-6487-0220,2.0,3.0,,True,True,0.08333333333333333
꽈배기,블랙베어도넛 망원점,1551,블랙베어도넛 망원점,02-332-5818,6.0,4.8,,True,False,0.37249999999999994
꽈배기,스마일명품찰진꽈배기,1866,스마일명품찹쌀꽈배기,02-445-3727,7.0,4.4,,True,False,0.3106887755102041
까눌레,커피탐이나,593,Coffee Tomeina,010-2449-3211,29.0,4.4,,True,True,0.6349206349206349
까눌레,얼반스퀘어,559,Urban Square,,39.0,4.2,,True,True,0.21214285714285713
까눌레,카페공명 연남점,1474,Cafe Gongmyoung Yeonnam,070-8869-6304,224.0,4.3,,True,True,0.70975
까눌레,어글리베이커리,1873,Ugly Bakery,02-338-2018,431.0,4.0,3.0,True,False,0.3228119935619936
까눌레,페그로스터스,1159,FFEEGG Roasters,070-4257-7770,15.0,4.7,,True,False,0.5127833333333334
까눌레,훈고링고브레드,1636,훈고링고브레드,,107.0,4.2,2.0,True,False,0.288020202020202
까눌레,세빠띠,1427,Seppatti,050-71334-8372,1.0,5.0,,True,False,0.0
까눌레,라프하우스,1553,라프하우스,02-337-7353,8.0,3.5,,True,False,0.26678416821273965
까눌레,두두리두팡,1853,Duduri Dupang,070-8810-2379,9.0,3.3,,True,False,0.16373406762990098
까눌레,밀로밀,1895,Millomil,,21.0,4.7,,True,False,0.4848888888888889
까눌레,라플로레종,1752,La Floraison,070-8800-2409,17.0,4.4,,True,False,0.4318170351473922
까눌레,렌테,1891,Lente,010-4051-2416,5.0,4.8,,True,False,0.29812500000000003
까눌레,아브르드팡(Arbre de pain),1841,아브르드팡,010-3713-0677,3.0,4.0,,True,False,0.4972222222222222
크림빵,카페공명 홍대점,419,Cafe Gong Myoung Hongdae Branch,070-8870-6304,45.0,4.5,,True,True,0.4152857142857142
크림빵,커피탐이나,593,Coffee Tomeina,010-2449-3211,29.0,4.4,,True,True,0.6349206349206349
크림빵,카페공명 연남점,1474,Cafe Gongmyoung Yeonnam,070-8869-6304,224.0,4.3,,True,True,0.70975
크림빵,어글리베이커리,1873,Ugly Bakery,02-338-2018,431.0,4.0,3.0,True,False,0.3228119935619936
크림빵,카페공명 합정점(서울작업실),1359,Cafe Gongmyoung Hapjeong,070-8824-6304,6.0,4.7,,True,False,0.4885
크림빵,씨엘로,1975,Cielo,051-747-2077,74.0,4.1,,True,True,0.046542857142857164
쿠키,벨라쿠키 본점,570,Bella Cookie,070-8722-8577,17.0,4.5,,True,False,0.20316161616161615
쿠키,마로스쿠키,883,마로스쿠키,010-4495-1259,4.0,5.0,,True,False,0.63125
쿠키,달콤한거짓말,377,달콤한 거짓말,02-3141-3338,115.0,4.4,,True,False,0.5000000000000001
쿠키,민트하임,699,Mint Heim,02-324-1359,323.0,4.2,,True,True,0.26707341269841267
쿠키,수상한베이글,402,Susanghan Bagel,050-71315-4096,68.0,4.2,,True,True,0.3338919064153439
쿠키,씨네마포,505,Cinema Four,,33.0,4.5,,True,False,0.31853273809523813
쿠키,베니케이크,303,베니케이크,050-71480-8816,168.0,5.0,,True,True,0.45197916666666665
쿠키,포포브레드,1091,For Four Bread,02-332-2044,41.0,4.7,,True,False,0.4645416666666667
쿠키,퐁포네뜨 홍대점,810,Pomponnette,02-337-9006,96.0,4.5,,True,False,0.5042738095238095
머핀,씨네마포,505,Cinema Four,,33.0,4.5,,True,False,0.31853273809523813
머핀,젤라잇,1329,젤라잇 (Gela eat),,6.0,4.7,,True,True,0.2903244047619048
머핀,루즈도어,1651,Loose Door,010-9126-7861,35.0,4.6,,True,False,0.4442852564102564
머핀,블랙번즈,1574,Blackburn's,02-393-9077,10.0,4.2,,True,True,0.34681410256410256
머핀,비스트로 여의도,1830,얼쑤비스트로 여의도,070-8648-0658,6.0,4.8,,False,True,0.1994285714285714
양갱,금옥당 서교점,436,금옥당 서교점,02-325-4040,211.0,4.0,,True,True,0.32658333333333334
양갱,양갱상점,436,금옥당 서울역점,02-363-6332,6.0,4.5,,True,False,0.38212103174603174
